112.200.223.65 - - [18/Jul/2010:06:26:00 -0400] "GET /ece242/examples/HelloWorld.java HTTP/1.1" 404 335 "http://www.ecs.umass.edu/ece/ece122/help/setenvironment.htm" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; InfoPath.2)"
128.119.100.153 - - [18/Jul/2010:08:21:51 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:27:00 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
208.80.193.27 - - [18/Jul/2010:08:27:19 -0400] "GET / HTTP/1.0" 200 247 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; Creative; SV1; .NET CLR 1.0.3705)"
128.119.100.153 - - [18/Jul/2010:08:32:16 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:32:16 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:32:17 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
124.115.0.110 - - [18/Jul/2010:08:34:25 -0400] "GET / HTTP/1.1" 200 202 "-" "Sosospider+(+http://help.soso.com/webspider.htm)"
124.115.0.110 - - [18/Jul/2010:08:34:26 -0400] "GET /html/ HTTP/1.1" 200 1360 "-" "Sosospider+(+http://help.soso.com/webspider.htm)"
128.119.100.153 - - [18/Jul/2010:08:37:30 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:37:34 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:37:36 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
123.125.66.80 - - [18/Jul/2010:08:40:29 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
220.181.7.73 - - [18/Jul/2010:08:40:29 -0400] "GET / HTTP/1.1" 200 247 "-" "Baiduspider+(+http://www.baidu.com/search/spider.htm)"
207.46.195.237 - - [18/Jul/2010:08:43:29 -0400] "GET /robots.txt HTTP/1.1" 404 415 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
207.46.195.237 - - [18/Jul/2010:08:45:53 -0400] "GET /~gao/paper/final.ppt HTTP/1.1" 404 329 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
128.119.100.153 - - [18/Jul/2010:08:47:17 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:47:33 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:47:33 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:47:33 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:47:34 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:48:15 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:48:17 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:08:57:16 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:08:57:32 -0400] "GET /~yliao/html/photos.wik.html HTTP/1.0" 200 987 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
67.195.113.245 - - [18/Jul/2010:08:57:32 -0400] "GET /~yliao/html/blue.css HTTP/1.0" 304 - "http://rio.ecs.umass.edu/~yliao/html/photos.wik.html" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
128.119.100.153 - - [18/Jul/2010:09:02:07 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:02:09 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:07:19 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:07:20 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:07:21 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:07:31 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
67.195.113.245 - - [18/Jul/2010:09:12:50 -0400] "GET /mnilpub/papers/feng-infocom09.pdf HTTP/1.0" 200 247654 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
128.119.100.153 - - [18/Jul/2010:09:22:37 -0400] "GET /robots.txt HTTP/1.0" 404 321 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:22:37 -0400] "GET / HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:23:13 -0400] "GET /mnilpub/papers/PID28496.pdf HTTP/1.0" 304 - "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:23:16 -0400] "GET /~yliao/pmwiki/ HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
207.46.199.180 - - [18/Jul/2010:09:23:27 -0400] "GET /robots.txt HTTP/1.1" 404 415 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
128.119.100.153 - - [18/Jul/2010:09:27:26 -0400] "GET /~yliao/pmwiki/index.php?n=Main.HomePage HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:27:27 -0400] "GET /~yliao/pmwiki/index.php HTTP/1.0" 200 2810 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
128.119.100.153 - - [18/Jul/2010:09:27:28 -0400] "GET /~yliao/pmwiki/index.php?n=Course.Course HTTP/1.0" 200 2725 "-" "gsa-crawler (Enterprise; T2-EG9QX8JZXNSJA; systems@nic.umass.edu,web@admin.umass.edu,ltgarcia@admin.umass.edu)"
69.235.42.104 - - [18/Jul/2010:09:27:45 -0400] "GET /~yliao/pmwiki/index.php?n=Misc.Latex HTTP/1.1" 200 4458 "http://www.google.com/search?hl=en&rlz=1G1GGLQ_ENUS366&q=subfigure+%22up+and+down%22+latex&aq=f&aqi=&aql=&oq=&gs_rfai=" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:45 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/monobook.css HTTP/1.1" 200 6730 "http://rio.ecs.umass.edu/~yliao/pmwiki/index.php?n=Misc.Latex" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:45 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/headbg.jpg HTTP/1.1" 200 7881 "http://rio.ecs.umass.edu/~yliao/pmwiki/pub/skins/monobook/monobook.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:45 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/bullet.gif HTTP/1.1" 200 50 "http://rio.ecs.umass.edu/~yliao/pmwiki/pub/skins/monobook/monobook.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:46 -0400] "GET /~yliao/pmwiki/pub/skins/monobook/external.png HTTP/1.1" 200 216 "http://rio.ecs.umass.edu/~yliao/pmwiki/pub/skins/monobook/monobook.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:46 -0400] "GET /~yliao/pmwiki/pub/umass.png HTTP/1.1" 200 20321 "http://rio.ecs.umass.edu/~yliao/pmwiki/index.php?n=Misc.Latex" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
69.235.42.104 - - [18/Jul/2010:09:27:46 -0400] "GET /favicon.ico HTTP/1.1" 200 4710 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6"
